"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","stream_order","FRAME23_ID","PERM_ID","NHDPLUSID","REACHCODE","GNIS_ID","GNIS_NAME","LENGTH_KM","FTYPE","FCODE","HUC4","STREAM_LEV","STRAH_ORD","STRAH_CAL","MEAN_FLOW","WBPERM_ID","MAINPATH","INNETWORK","VISFILT","BORD_RIV","PSTL_CODE","FRAME23","CNTYNAME","STATECTY","EPA_REG","HUC2","HUC2_NM","HUC8","HUC8_NM","MAJ_BASIN","MAJ_BAS_NM","MIS_BASIN","MIS_BAS_NM","WSAREA_KM","NHD100K","URBN_NRS08","URBN_NRS18","URBN_NRS23","FEOW_ID","US_L4CODE","US_L4NAME","US_L3CODE","US_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","AG_ECO9","AG_ECO9_NM","AG_ECO3","AG_ECO3_NM","OWN_NARS","FS_EW","STRAH_CAT","Shape_Leng","fcode","geometry"
"35","Site-035","Base","None",-74.949003984753,44.6103281764406,"2",1112126.1828005,8.99178542386125e-07,"None","2","171486","132421189",60000300026000,"04290005002269","00977051","Stafford Brook",3.08206089147,460,46006,"H0429",6,2,2,4.935255,NA,0,1,1e+05,"Not_Border","NY","Include","St. Lawrence","F36089","Region_02","H04","Great Lakes Region","H04290005","Raquette","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",8.66329998,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"83e","Upper St. Lawrence Valley","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",3082.06089147,46006,c(504046.415733409, 4939665.54748155)
"36","Site-036","Base","None",-77.5832240188062,42.5835620415472,"2",1112126.1828005,8.99178542386125e-07,"None","2","166331","84186101",60000700011200,"04130002002055",NA,NA,1.78449396544,460,46006,"H0413",13,2,2,2.53711659,NA,0,1,5e+05,"Not_Border","NY","Include","Steuben","F36101","Region_02","H04","Great Lakes Region","H04130002","Upper Genesee","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",5.10900003,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"60d","Finger Lakes Uplands and Gorges","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1784.49396544,46006,c(288023.150641505, 4717806.39614522)
"37","Site-037","Base","None",-73.6281478240342,42.8316808970415,"2",1112126.1828005,8.99178542386125e-07,"None","2","151931","50517479",10000700027400,"02020003013493","00948176","Deep Kill",1.97870286984,460,46006,"H0202",2,2,2,14.70380657,NA,0,1,1e+06,"Not_Border","NY","Include","Rensselaer","F36083","Region_02","H02","Mid-Atlantic Region","H02020003","Hudson-Hoosic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",26.46339984,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58x","Taconic Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1978.70286984,46006,c(612122.973806635, 4743036.17081459)
"38","Site-038","Base","None",-75.5207608041967,43.5519657359616,"2",1112126.1828005,8.99178542386125e-07,"None","2","233733","124492514",60000600088800,"04140202000889","00969306","Sucker Brook",2.87714799004,460,46006,"H0414",11,2,2,31.12371436,NA,0,1,5e+05,"Not_Border","NY","Include","Lewis","F36049","Region_02","H04","Great Lakes Region","H04140202","Oneida","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",25.76529988,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"58af","Tug Hill Transition","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2877.14799004,46006,c(457935.537267572, 4822244.33502435)
"39","Site-039","Base","None",-78.7556077669557,42.1292102966954,"2",1112126.1828005,8.99178542386125e-07,"None","2","293157","112358527",24000400012900,"05010001002071","00944679","Breeds Run",1.06746772726,460,46003,"H0501",3,2,2,3.31226466,NA,0,1,250000,"Not_Border","NY","Include","Cattaraugus","F36009","Region_02","H05","Ohio Region","H05010001","Upper Allegheny","H05_06","Ohio-Tennessee Region","H05_06","Ohio-Tennessee Region",4.31189995,"NHD100","Non-Urban","Non-Urban","Non-Urban",150,"62d","Unglaciated High Allegheny Plateau","62","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1067.46772726,46003,c(189576.954358994, 4670952.2366519)
"40","Site-040","Base","None",-74.9742863438961,42.7331250583079,"2",1112126.1828005,8.99178542386125e-07,"None","2","149660","{17A47DCA-EA70-4815-9643-3110C60726C6}",10000600029200,"02050101001376",NA,NA,0.349525289497,460,46006,"H0205",4,2,2,1.925463,NA,0,1,1e+05,"Not_Border","NY","Include","Otsego","F36077","Region_02","H02","Mid-Atlantic Region","H02050101","Upper Susquehanna","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",3.32750002,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",349.525289497,46006,c(502104.925595974, 4731179.80162337)
"41","Site-041","Base","None",-74.8433181580493,42.5757283968229,"2",1112126.1828005,8.99178542386125e-07,"None","2","159864","43474935",10000600117800,"02050101001307",NA,NA,2.87019023717,460,46006,"H0205",4,2,2,3.28994925,NA,0,1,1e+05,"Not_Border","NY","Include","Otsego","F36077","Region_02","H02","Mid-Atlantic Region","H02050101","Upper Susquehanna","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",4.88769997,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2870.19023717,46006,c(512858.395996477, 4713713.80327664)
"42","Site-042","Base","None",-75.2009786173201,44.2565796936782,"2",1112126.1828005,8.99178542386125e-07,"None","2","236166","167248234",60000300054800,"04290003006743",NA,NA,0.652802489757,460,46006,"H0429",6,2,2,1.194629,NA,0,1,1e+05,"Not_Border","NY","Include","St. Lawrence","F36089","Region_02","H04","Great Lakes Region","H04290003","Oswegatchie","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",1.89769998,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58ab","Northern and Western Adirondack Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",652.802489757,46006,c(483956.319409239, 4900390.86178702)
"43","Site-043","Base","None",-76.4292435213427,43.465071489764,"2",1112126.1828005,8.99178542386125e-07,"None","2","248117","129634669",60000600071000,"04140102001009",NA,NA,6.252725718,460,46006,"H0414",6,2,2,9.14317693,NA,0,1,250000,"Not_Border","NY","Include","Oswego","F36075","Region_02","H04","Great Lakes Region","H04140102","Salmon-Sandy","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",14.11479999,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",6252.725718,46006,c(384386.518622963, 4813454.36953234)
"44","Site-044","Base","None",-77.1938961782131,42.6683286666237,"2",1112126.1828005,8.99178542386125e-07,"None","2","198151","87946606",60000600076200,"04140201002849",NA,NA,0.821870344828,460,46006,"H0414",13,2,2,2.01343984,NA,0,1,1e+05,"Not_Border","NY","Include","Yates","F36123","Region_02","H04","Great Lakes Region","H04140201","Seneca","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",4.54150001,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"60d","Finger Lakes Uplands and Gorges","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",821.870344828,46006,c(320216.682695404, 4726317.76437306)
"45","Site-045","Base","None",-76.0733404174435,42.8437432696663,"2",1112126.1828005,8.99178542386125e-07,"None","2","253941","124498193",60000600059900,"04140202000040",NA,NA,0.708493862417,460,46006,"H0414",10,2,2,1.26016914,NA,0,1,1e+05,"Not_Border","NY","Include","Onondaga","F36067","Region_02","H04","Great Lakes Region","H04140202","Oneida","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",1.78919996,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"60d","Finger Lakes Uplands and Gorges","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",708.493862417,46006,c(412292.032715049, 4744021.66587494)
"46","Site-046","Base","None",-74.0588768758237,43.9352686586169,"2",1112126.1828005,8.99178542386125e-07,"None","2","133968","89348169",10000700014800,"02020001000623","00953568","Hyslop Brook",1.71216404661,460,46006,"H0202",2,2,2,6.70200072,NA,0,1,0,"Not_Border","NY","Include","Essex","F36031","Region_02","H02","Mid-Atlantic Region","H02020001","Upper Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",8.64300007,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58ad","Central Adirondacks","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1712.16404661,46006,c(575535.827979381, 4865113.77082612)
"47","Site-047","Base","None",-74.0569598700224,44.1143625193417,"2",1112126.1828005,8.99178542386125e-07,"None","2","304806","89344051",10000700053300,"02020001000175","00953682","Indian Pass Brook",1.40116508773,460,46006,"H0202",2,2,2,12.05320348,NA,0,1,0,"Not_Border","NY","Include","Essex","F36031","Region_02","H02","Mid-Atlantic Region","H02020001","Upper Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",12.40350003,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58z","Adirondack High Peaks","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1401.16508773,46006,c(575462.135420365, 4885007.27003451)
"48","Site-048","Base","None",-77.4584271486365,42.2334687737385,"2",1112126.1828005,8.99178542386125e-07,"None","2","30788","57346907",10000600078400,"02050104001546",NA,NA,1.71609722056,460,46006,"H0205",5,2,2,1.506751,NA,0,1,1e+05,"Not_Border","NY","Include","Steuben","F36101","Region_02","H02","Mid-Atlantic Region","H02050104","Tioga","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",4.29759994,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1716.09722056,46006,c(297138.732211977, 4678624.7835799)
"49","Site-049","Base","None",-74.7137671221514,41.4647201921384,"2",1112126.1828005,8.99178542386125e-07,"None","2","110029","26165734",10000200162700,"02040104008180","00966332","Steeny Kill",2.68490883604,460,46006,"H0204",2,2,2,5.64437312,NA,0,1,250000,"Not_Border","NY","Include","Orange","F36071","Region_02","H02","Mid-Atlantic Region","H02040104","Middle Delaware-Mongaup-Brodhead","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",7.21100006,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"62b","Low Poconos","62","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2684.90883604,46006,c(523902.762193858, 4590387.0345099)
"50","Site-050","Base","None",-74.6307110607639,44.8977617759565,"3",978200.561135468,1.02228524469382e-06,"None","3","332347","132873972",60000300054100,"04290007000523","00976813","Pike Creek",0.432386907653,460,46006,"H0429",6,3,3,3.85864,NA,0,1,250000,"Not_Border","NY","Include","Franklin","F36033","Region_02","H04","Great Lakes Region","H04290007","Salmon","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",9.81649997,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"83d","St. Lawrence Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",432.386907653,46006,c(529157.333031354, 4971659.45590189)
"51","Site-051","Base","None",-73.7956217554996,42.946867920964,"3",978200.561135468,1.02228524469382e-06,"None","3","131218","50515483",10000700055200,"02020003000230",NA,NA,1.35312565706,460,46006,"H0202",3,3,3,19.53514304,NA,0,1,1e+06,"Not_Border","NY","Include","Saratoga","F36091","Region_02","H02","Mid-Atlantic Region","H02020003","Hudson-Hoosic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",38.57520001,"NHD100","Urban","Urban","Urban",118,"59i","Hudson Valley","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",1353.12565706,46006,c(598251.959120567, 4755618.21286452)
"52","Site-052","Base","None",-74.9754551821437,42.602496763542,"3",978200.561135468,1.02228524469382e-06,"None","3","145680","43474825",10000600102800,"02050101001432",NA,NA,2.71738117372,460,46006,"H0205",2,3,3,9.91413057,NA,0,1,250000,"Not_Border","NY","Include","Otsego","F36077","Region_02","H02","Mid-Atlantic Region","H02050101","Upper Susquehanna","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",15.63889997,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",2717.38117372,46006,c(502013.455655592, 4716674.56778036)
"53","Site-053","Base","None",-78.2731422984629,42.556300631391,"3",978200.561135468,1.02228524469382e-06,"None","3","204610","84186115",60000700000900,"04130002000855",NA,NA,1.99879488644,460,46006,"H0413",12,3,3,6.52878865,NA,0,1,250000,"Not_Border","NY","Include","Wyoming","F36121","Region_02","H04","Great Lakes Region","H04130002","Upper Genesee","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",8.33739999,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",1998.79488644,46006,c(231287.288627388, 4716738.59389017)
"54","Site-054","Base","None",-75.3144521843521,44.1974064207928,"3",978200.561135468,1.02228524469382e-06,"None","3","176994","133091657",60000300034500,"04290003006535","00977126","Toothaker Creek",1.75551783201,460,46006,"H0429",7,3,3,7.09675,NA,0,1,5e+05,"Not_Border","NY","Include","St. Lawrence","F36089","Region_02","H04","Great Lakes Region","H04290003","Oswegatchie","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",11.44000001,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58ab","Northern and Western Adirondack Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",1755.51783201,46006,c(474872.812116702, 4893846.78620856)
"55","Site-055","Base","None",-74.2436774449082,44.52670148477,"3",978200.561135468,1.02228524469382e-06,"None","3","326236","135265111",60000300045300,"04290006001807","00970198","Hays Brook",1.26758711062,460,46006,"H0429",7,3,3,16.653986,NA,0,1,1e+06,"Not_Border","NY","Include","Franklin","F36033","Region_02","H04","Great Lakes Region","H04290006","St. Regis","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",25.61929998,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58ab","Northern and Western Adirondack Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",1267.58711062,46006,c(560098.525184986, 4930653.28476788)
"56","Site-056","Base","None",-75.9421341599452,42.2245001317915,"3",978200.561135468,1.02228524469382e-06,"None","3","86782","62633664",10000600085800,"02050102001749","00944856","Brooks Creek",0.539522250218,460,46006,"H0205",4,3,3,4.19094616,NA,0,1,250000,"Not_Border","NY","Include","Broome","F36007","Region_02","H02","Mid-Atlantic Region","H02050102","Chenango","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",8.37989994,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",539.522250218,46006,c(422249.199800776, 4675132.32111752)
"57","Site-057","Base","None",-78.6780268260738,42.1416702649461,"3",978200.561135468,1.02228524469382e-06,"None","3","100763","112357779",24000400049800,"05010001002069",NA,NA,1.01481208363,460,46006,"H0501",3,3,3,4.62710262,NA,0,1,250000,"Not_Border","NY","Include","Cattaraugus","F36009","Region_02","H05","Ohio Region","H05010001","Upper Allegheny","H05_06","Ohio-Tennessee Region","H05_06","Ohio-Tennessee Region",5.84979997,"NHD100","Urban","Non-Urban","Non-Urban",150,"62d","Unglaciated High Allegheny Plateau","62","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Tribal Land","Not_USFS","LS",1014.81208363,46006,c(196050.04837275, 4672056.49484383)
"58","Site-058","Base","None",-74.4878855904525,43.8139051051279,"3",978200.561135468,1.02228524469382e-06,"None","3","329521","132421662",60000300014100,"04290005001414","00955974","Loon Brook",1.28378993887,460,46006,"H0429",8,3,3,7.608335,NA,0,1,250000,"Not_Border","NY","Include","Hamilton","F36041","Region_02","H04","Great Lakes Region","H04290005","Raquette","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",8.67699999,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58aa","Acid Sensitive Adirondacks","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",1283.78993887,46006,c(541186.455856334, 4851331.46124707)
"59","Site-059","Base","None",-78.1382614765063,43.2602408283966,"3",978200.561135468,1.02228524469382e-06,"None","3","189287","124593530",60000700006900,"04130001002150","00970762","West Branch Sandy Creek",8.15231972824,460,46006,"H0413",8,3,3,15.99671728,NA,0,1,1e+06,"Not_Border","NY","Include","Orleans","F36073","Region_02","H04","Great Lakes Region","H04130001","Oak Orchard-Twelvemile","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",40.2678,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",8152.31972824,46006,c(245279.751303981, 4794497.91026262)
"60","Site-060","Base","None",-73.8341045785927,41.5040517211428,"3",978200.561135468,1.02228524469382e-06,"None","3","24926","37088641",10000700006700,"02020008001013","00971208","Wiccopee Creek",1.45412592933,460,46006,"H0202",3,3,3,12.74425673,NA,0,1,0,"Not_Border","NY","Include","Dutchess","F36027","Region_02","H02","Mid-Atlantic Region","H02020008","Hudson-Wappinger","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",15.82240008,"NHD100","Urban","Non-Urban","Non-Urban",118,"58i","Glaciated Reading Prong/Hudson Highlands","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",1454.12592933,46006,c(597303.627545025, 4595370.13700992)
"61","Site-061","Base","None",-78.8163356721846,42.2583264981421,"3",978200.561135468,1.02228524469382e-06,"None","3","106847","112354697",24000400049300,"05010001000538","00955721","Little Valley Creek",1.64888939592,460,46006,"H0501",3,3,3,22.36529154,NA,0,1,2e+06,"Not_Border","NY","Include","Cattaraugus","F36009","Region_02","H05","Ohio Region","H05010001","Upper Allegheny","H05_06","Ohio-Tennessee Region","H05_06","Ohio-Tennessee Region",26.93219998,"NHD100","Non-Urban","Non-Urban","Non-Urban",150,"62d","Unglaciated High Allegheny Plateau","62","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",1648.88939592,46006,c(185199.135226945, 4685514.33893515)
"62","Site-062","Base","None",-76.0887059591664,43.1985884577174,"3",978200.561135468,1.02228524469382e-06,"None","3","246901","124494312",60000600061200,"04140202006897","00968598","Volmer Creek",0.371379549838,334,33400,"H0414",7,3,3,3.89288292,NA,0,1,1e+05,"Not_Border","NY","Include","Onondaga","F36067","Region_02","H04","Great Lakes Region","H04140202","Oneida","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",6.23259998,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",371.379549838,33400,c(411547.346875588, 4783443.38207464)
"63","Site-063","Base","None",-76.2956635441916,43.2924527374231,"3",978200.561135468,1.02228524469382e-06,"None","3","180461","124493574",60000600067400,"04140202001541","00965325","Sixmile Creek",3.73405040517,460,46006,"H0414",8,3,3,19.52708062,NA,0,1,5e+05,"Not_Border","NY","Include","Oswego","F36075","Region_02","H04","Great Lakes Region","H04140202","Oneida","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",31.0452001,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",3734.05040517,46006,c(394894.297007011, 4794106.99889691)
"64","Site-064","Base","None",-73.8402028302381,41.2768326372179,"3",978200.561135468,1.02228524469382e-06,"None","3","34106","55491647",10000100003900,"02030101000366","00953469","Hunter Brook",0.76454346172,558,55800,"H0203",3,3,3,12.9756345,"{4063b589-1ab7-4994-a784-9bb39242c097}",0,1,0,"Not_Border","NY","Include","Westchester","F36119","Region_02","H02","Mid-Atlantic Region","H02030101","Lower Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",17.19560002,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"59c","Southern New England Coastal Plains and Hills","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",764.54346172,55800,c(597132.33643695, 4570137.44129535)
"65","Site-065","Base","None",-77.4652900106009,43.1070281084588,"4",405644.707543861,2.46521150505057e-06,"None","4","245416","145762545",60000600071200,"04140101000687","00967396","Thomas Creek",1.16870976239,460,46006,"H0414",8,4,4,11.16935261,NA,0,1,5e+06,"Not_Border","NY","Include","Monroe","F36055","Region_02","H04","Great Lakes Region","H04140101","Irondequoit-Ninemile","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",6515.7179996,"NHD100","Urban","Urban","Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",1168.70976239,46006,c(299403.208600794, 4775650.25396226)
"66","Site-066","Base","None",-74.6746394142081,42.1853723900126,"4",405644.707543861,2.46521150505057e-06,"None","4","53440","261527A8-10EF-43BE-95BF-FE20168D6C17",10000200250200,"02040102000100","00960689","Platte Kill",0.463375400254,558,55800,"H0204",2,4,4,32.6649798,"2193393D-021A-408A-A7A2-940B4582BF51",0,1,0,"Not_Border","NY","Include","Delaware","F36025","Region_02","H02","Mid-Atlantic Region","H02040102","East Branch Delaware","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",47.17719985,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"60c","Catskills Transition","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",463.375400254,55800,c(526867.257665977, 4670409.47012923)
"67","Site-067","Base","None",-74.9761749683282,43.0753362824223,"4",405644.707543861,2.46521150505057e-06,"None","4","135132","53528721",10000700010100,"02020004000257","00958767","North Creek",0.341767935515,460,46006,"H0202",4,4,4,27.04206745,NA,0,1,0,"Not_Border","NY","Include","Herkimer","F36043","Region_02","H02","Mid-Atlantic Region","H02020004","Mohawk","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",40.66010005,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"83f","Mohawk Valley","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",341.767935515,46006,c(501939.564846929, 4769181.09279183)
"68","Site-068","Base","None",-78.2594345247577,42.3832561961479,"4",405644.707543861,2.46521150505057e-06,"None","4","99730","167786123",60000700000500,"04130002000124","00945767","Caneadea Creek",0.499102322854,558,55800,"H0413",11,4,4,41.30141312,"{EA42F339-55D8-4B38-A538-065CA6AE4499}",0,1,1e+06,"Not_Border","NY","Include","Allegany","F36003","Region_02","H04","Great Lakes Region","H04130002","Upper Genesee","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",62.92479981,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",499.102322854,55800,c(231673.798117538, 4697477.86882089)
