"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","FRAME23_ID","PERM_ID","NHDPLUSID","REACHCODE","GNIS_ID","GNIS_NAME","LENGTH_KM","FTYPE","FCODE","HUC4","STREAM_LEV","STRAH_ORD","STRAH_CAL","MEAN_FLOW","WBPERM_ID","MAINPATH","INNETWORK","VISFILT","BORD_RIV","PSTL_CODE","FRAME23","CNTYNAME","STATECTY","EPA_REG","HUC2","HUC2_NM","HUC8","HUC8_NM","MAJ_BASIN","MAJ_BAS_NM","MIS_BASIN","MIS_BAS_NM","WSAREA_KM","NHD100K","URBN_NRS08","URBN_NRS18","URBN_NRS23","FEOW_ID","US_L4CODE","US_L4NAME","US_L3CODE","US_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","AG_ECO9","AG_ECO9_NM","AG_ECO3","AG_ECO3_NM","OWN_NARS","FS_EW","STRAH_CAT","Shape_Leng","geometry","fcode","stream_order"
"31","Site-031","Base","None",-73.6650255685289,43.0169609104618,"Northeastern Coastal Zone",359092.683450605,2.78479636619373e-06,"2","143494","50513647",10000700046400,"02020003012759",NA,NA,1.01362773179,460,46003,"H0202",4,2,2,0.656276,NA,0,1,50000,"Not_Border","NY","Exclude_NoFlow","Saratoga","F36091","Region_02","H02","Mid-Atlantic Region","H02020003","Hudson-Hoosic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",1.38820003,"Not_NHD100","Non-Urban","Non-Urban","Non-Urban",118,"59i","Hudson Valley","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1013.62773179,c(1794072.78120089, 2436396.96137059),46003,2
"32","Site-032","Base","None",-73.5169579635428,43.2944179297601,"Northeastern Coastal Zone",465490.515584117,2.14827148249231e-06,"3","200272","52531207",60000200060600,"04300101001257","00971602","Wood Creek",0.163299782331,460,46006,"H0430",6,3,3,10.2551669,NA,0,1,1e+06,"Not_Border","NY","Include","Washington","F36115","Region_02","H02","Mid-Atlantic Region","H04300101","Mettawee River","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",19.35650002,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"59i","Hudson Valley","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",163.299782331,c(1798481.63820057, 2469325.45194848),46006,3
"33","Site-033","Base","None",-73.978955348746,41.1720792620716,"Northern Piedmont",20332.0430537933,4.91834488720225e-05,"3","54380","60441561",10000100020800,"02030103000520",NA,NA,0.802274126265,460,46006,"H0203",4,3,3,11.24874369,NA,0,1,0,"Not_Border","NY","Include","Rockland","F36087","Region_02","H02","Mid-Atlantic Region","H02030103","Hackensack-Passaic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",14.97910002,"NHD100","Urban","Urban","Urban",118,"64e","Glaciated Triassic Lowlands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",802.274126265,c(1816698.48997956, 2229687.02197591),46006,3
"34","Site-034","Base","None",-74.057978215905,41.1768715715719,"Northern Piedmont",55658.967859759,1.7966556665579e-05,"1","71659","55503481",10000100072200,"02030101000236",NA,NA,0.325645005019,460,46006,"H0203",4,1,1,0.750476,NA,0,1,0,"Not_Border","NY","Exclude_NoFlow","Rockland","F36087","Region_02","H02","Mid-Atlantic Region","H02030101","Lower Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",1.0105,"NHD100","Urban","Urban","Urban",118,"64e","Glaciated Triassic Lowlands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",325.645005019,c(1810172.93110576, 2228701.34247513),46006,1
"35","Site-035","Base","None",-73.9358799170866,41.2004042108666,"Northern Piedmont",55658.967859759,1.7966556665579e-05,"1","14547","55488689",10000100055300,"02030101003013",NA,NA,2.35178760048,558,55800,"H0203",2,1,1,5.17582608,"167745898",0,1,0,"Not_Border","NY","Exclude_Estuary","Rockland","F36087","Region_02","H02","Mid-Atlantic Region","H02030101","Lower Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",6.84989998,"NHD100","Urban","Urban","Urban",118,"64e","Glaciated Triassic Lowlands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2351.78760048,c(1819458.46262504, 2233597.32727566),55800,1
"36","Site-036","Base","None",-74.1020418487674,40.5098716514896,"Northern Piedmont",49559.3549436211,2.01778251782656e-05,"4","1083","{3399A01A-6EF0-48C2-98AF-88E14BE1A741}",10000100043300,"02030104009744",NA,NA,2.79873393616,558,55800,"H0203",1,9,9,4638.23063569,"159518058",0,1,0,"Not_Border","NY","Exclude_Estuary","Richmond","F36085","Region_02","H02","Mid-Atlantic Region","H02030104","Sandy Hook-Staten Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",55411.0825841,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"64e","Glaciated Triassic Lowlands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","RV",2798.73393616,c(1823662.11858406, 2155141.73809256),55800,4
"37","Site-037","Base","None",-73.9870848935553,41.1676843938486,"Northern Piedmont",23636.0000500347,4.23083431157182e-05,"2","55894","60441573",10000100055200,"02030103000524",NA,NA,0.729703832041,460,46006,"H0203",5,2,2,1.513614,NA,0,1,0,"Not_Border","NY","Include","Rockland","F36087","Region_02","H02","Mid-Atlantic Region","H02030103","Hackensack-Passaic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.23689998,"NHD100","Urban","Urban","Urban",118,"64e","Glaciated Triassic Lowlands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",729.703832041,c(1816152.81324762, 2229052.74375375),46006,2
"38","Site-038","Base","None",-74.0813541502064,41.0835835653011,"Northern Piedmont",23636.0000500347,4.23083431157182e-05,"2","27344","167082660",10000100015000,"02030103001278","00879901","Saddle River",0.188569149443,558,55800,"H0203",3,2,2,3.84055308,"167082661",0,1,0,"Not_Border","NY","Exclude_Lake","Rockland","F36087","Region_02","H02","Mid-Atlantic Region","H02030103","Hackensack-Passaic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",4.91480002,"NHD100","Urban","Urban","Urban",118,"64e","Glaciated Triassic Lowlands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",188.569149443,c(1810666.47773651, 2218088.22126419),55800,2
"39","Site-039","Base","None",-73.8965906551424,41.0188912165098,"Northern Piedmont",55658.967859759,1.7966556665579e-05,"1","274468","55493477",10000100084000,"02030101006128",NA,NA,0.529213068056,558,55800,"H0203",2,1,1,1.499962,"167745898",0,1,0,"Not_Border","NY","Exclude_Estuary","Rockland","F36087","Region_02","H02","Mid-Atlantic Region","H02030101","Lower Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.79420001,"NHD100","Urban","Urban","Urban",118,"64b","Trap Rock and Conglomerate Uplands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",529.213068056,c(1827324.07356819, 2214574.58826073),55800,1
"40","Site-040","Base","None",-74.1919271131216,40.5859076000431,"Northern Piedmont",23636.0000500347,4.23083431157182e-05,"2","55097","75599898",10000100008800,"02030104000686",NA,NA,1.1604862296,460,46006,"H0203",3,2,2,0.668015,NA,0,1,0,"Not_Border","NY","Exclude_NoFlow","Richmond","F36085","Region_02","H02","Mid-Atlantic Region","H02030104","Sandy Hook-Staten Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",32.59159983,"NHD100","Urban","Urban","Urban",118,"64g","Hackensack Meadowlands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1160.4862296,c(1814371.27903537, 2161713.96536812),46006,2
"41","Site-041","Base","None",-74.0235374450828,41.0609466704059,"Northern Piedmont",23636.0000500347,4.23083431157182e-05,"2","89975","167739378",10000100049500,"02030103000468","00878642","Muddy Brook",3.25035842293,460,46006,"H0203",5,2,2,3.49335681,NA,0,1,0,"Not_Border","NY","Include","Rockland","F36087","Region_02","H02","Mid-Atlantic Region","H02030103","Hackensack-Passaic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",4.68989998,"NHD100","Urban","Urban","Urban",118,"64e","Glaciated Triassic Lowlands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",3250.35842293,c(1815938.21588396, 2216724.11058191),46006,2
"42","Site-042","Base","None",-73.9601127644973,41.1219006606487,"Northern Piedmont",20332.0430537933,4.91834488720225e-05,"3","83892","60448535",10000100049500,"02030103000530","00949003","East Branch Hackensack River",0.253853692004,460,46006,"H0203",4,3,3,10.78862655,NA,0,1,0,"Not_Border","NY","Include","Rockland","F36087","Region_02","H02","Mid-Atlantic Region","H02030103","Hackensack-Passaic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",15.22640012,"NHD100","Urban","Urban","Urban",118,"64e","Glaciated Triassic Lowlands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",253.853692004,c(1819516.27715087, 2224579.79182787),46006,3
"43","Site-043","Base","None",-73.9312241179397,41.0203919205954,"Northern Piedmont",20332.0430537933,4.91834488720225e-05,"3","59732","55493331",10000100066600,"02030101006129","00880777","Sparkill Creek",0.821068063859,460,46006,"H0203",2,3,3,17.2271561,NA,0,1,0,"Not_Border","NY","Include","Rockland","F36087","Region_02","H02","Mid-Atlantic Region","H02030101","Lower Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",25.30400007,"NHD100","Urban","Urban","Urban",118,"64e","Glaciated Triassic Lowlands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",821.068063859,c(1824473.89344488, 2214072.68533921),46006,3
"44","Site-044","Base","None",-74.1804794097188,40.6234480036921,"Northern Piedmont",23636.0000500347,4.23083431157182e-05,"2","36617","75603496",10000100077600,"02030104000293","00959303","Old Place Creek",0.303192761707,558,55800,"H0203",2,2,2,1.578451,"{73AE1E70-5833-438C-B15D-9629409A4087}",0,1,0,"Not_Border","NY","Exclude_Connector","Richmond","F36085","Region_02","H02","Mid-Atlantic Region","H02030104","Sandy Hook-Staten Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.99240003,"NHD100","Urban","Urban","Urban",118,"64g","Hackensack Meadowlands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",303.192761707,c(1814349.94980044, 2166027.03032605),55800,2
"45","Site-045","Base","None",-74.1023598203202,41.0939395884332,"Northern Piedmont",55658.967859759,1.7966556665579e-05,"1","33428","60450599",10000100083600,"02030103001279",NA,NA,0.389821937681,460,46006,"H0203",5,1,1,0.967026,NA,0,1,0,"Not_Border","NY","Exclude_NoFlow","Rockland","F36087","Region_02","H02","Mid-Atlantic Region","H02030103","Hackensack-Passaic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",1.39829996,"NHD100","Urban","Urban","Urban",118,"64e","Glaciated Triassic Lowlands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",389.821937681,c(1808697.2462771, 2218817.061054),46006,1
"46","Site-046","Base","None",-73.9681005916759,41.1016918537971,"Northern Piedmont",23636.0000500347,4.23083431157182e-05,"2","111161","60448585",10000100083900,"02030103000542",NA,NA,0.735246481967,460,46006,"H0203",4,2,2,3.18676063,NA,0,1,0,"Not_Border","NY","Include","Rockland","F36087","Region_02","H02","Mid-Atlantic Region","H02030103","Hackensack-Passaic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",4.37829994,"NHD100","Urban","Urban","Urban",118,"64e","Glaciated Triassic Lowlands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",735.246481967,c(1819388.56753925, 2222224.77067643),46006,2
"47","Site-047","Base","None",-74.1622669140936,40.5691865048971,"Northern Piedmont",20332.0430537933,4.91834488720225e-05,"3","282798","75602732",10000100020200,"02030104000297","00962476","Richmond Creek",0.258214785964,558,55800,"H0203",2,3,3,3.46087473,"{73AE1E70-5833-438C-B15D-9629409A4087}",0,1,0,"Not_Border","NY","Exclude_Connector","Richmond","F36085","Region_02","H02","Mid-Atlantic Region","H02030104","Sandy Hook-Staten Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",5.68850003,"NHD100","Urban","Urban","Urban",118,"64g","Hackensack Meadowlands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",258.214785964,c(1817221.96939511, 2160456.9303307),55800,3
"48","Site-048","Base","None",-74.2013959408074,40.497292409342,"Northern Piedmont",49559.3549436211,2.01778251782656e-05,"4","1186","{14CB5C28-D286-442E-BE7F-995C7CE033C3}",10000100048800,"02030104009722",NA,NA,1.99050663028,558,55800,"H0203",2,5,5,36.49763515,"159518058",0,1,0,"Not_Border","NY","Exclude_Estuary","Richmond","F36085","Region_02","H02","Mid-Atlantic Region","H02030104","Sandy Hook-Staten Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",60.87549999,"NHD100","Urban","Non-Urban","Non-Urban",118,"64e","Glaciated Triassic Lowlands","64","Northern Piedmont","8.3","SOUTHEASTERN USA PLAINS","8","EASTERN TEMPERATE FORESTS","SAP","Southern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","RV",1990.50663028,c(1815854.25725863, 2151867.25454601),55800,4
"49","Site-049","Base","None",-74.1970000467884,44.9326704030975,"Eastern Great Lakes Lowlands",1581003.61134196,6.32509624156518e-07,"3","237598","132873602",60000200019300,"04300201000238","00942272","Alder Brook",0.149672080515,460,46006,"H0430",7,3,3,11.57936484,NA,0,1,5e+05,"Not_Border","NY","Include","Franklin","F36033","Region_02","H04","Great Lakes Region","H04300201","Chateaugay-English","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",18.17130001,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"83e","Upper St. Lawrence Valley","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",149.672080515,c(1703519.93148973, 2634504.59400779),46006,3
"50","Site-050","Base","None",-75.5485454961837,44.0701462963808,"Eastern Great Lakes Lowlands",4743010.83402588,2.10836541385506e-07,"1","156323","131858281",60000300033700,"04290002004539",NA,NA,1.66763708105,460,46003,"H0429",8,1,1,0.861771,NA,0,1,50000,"Not_Border","NY","Exclude_NoFlow","Jefferson","F36045","Region_02","H04","Great Lakes Region","H04290002","Indian","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",1.5185,"Not_NHD100","Non-Urban","Non-Urban","Non-Urban",117,"83e","Upper St. Lawrence Valley","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","DOD","Not_USFS","SS",1667.63708105,c(1620129.85445035, 2517146.09704658),46003,1
"51","Site-051","Base","None",-78.1134526081937,43.0180384253535,"Eastern Great Lakes Lowlands",1506603.44139646,6.63744667324741e-07,"2","232941","42139029",60000700008600,"04130003000301","00943967","Bigelow Creek",1.99033389166,460,46006,"H0413",12,2,2,5.77725385,NA,0,1,250000,"Not_Border","NY","Include","Genesee","F36037","Region_02","H04","Great Lakes Region","H04130003","Lower Genesee","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",14.44700009,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1990.33389166,c(1441493.46128885, 2360773.72886923),46006,2
"52","Site-052","Base","None",-74.3977324907434,42.8462417529996,"Eastern Great Lakes Lowlands",4743010.83402588,2.10836541385506e-07,"1","138538","53537463",10000700070200,"02020004006073",NA,NA,2.32615738439,460,46006,"H0202",4,1,1,1.717103,NA,0,1,0,"Not_Border","NY","Include","Montgomery","F36057","Region_02","H02","Mid-Atlantic Region","H02020004","Mohawk","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",3.71849993,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"83f","Mohawk Valley","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2326.15738439,c(1740550.80078303, 2404204.97805483),46006,1
"53","Site-053","Base","None",-74.4068716067194,44.9380147980454,"Eastern Great Lakes Lowlands",1581003.61134196,6.32509624156518e-07,"3","210606","132873688",60000300051100,"04290007000230","00960760","Plum Brook",1.45781997213,460,46006,"H0429",6,3,3,11.290217,NA,0,1,5e+05,"Not_Border","NY","Include","Franklin","F36033","Region_02","H04","Great Lakes Region","H04290007","Salmon","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",27.24490003,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"83d","St. Lawrence Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",1457.81997213,c(1687272.75807439, 2631339.84254104),46006,3
"54","Site-054","Base","None",-76.8814494348597,43.0349619705556,"Eastern Great Lakes Lowlands",4743010.83402588,2.10836541385506e-07,"1","196206","87935560",60000600091100,"04140201004519",NA,NA,0.897518572148,460,46006,"H0414",6,1,1,0.36580431,NA,0,1,24000,"Not_Border","NY","Exclude_NoFlow","Wayne","F36117","Region_02","H04","Great Lakes Region","H04140201","Seneca","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",0.7765,"Not_NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",897.518572148,c(1539104.91783426, 2381948.90928475),46006,1
"55","Site-055","Base","None",-78.2463236526386,42.9071798665495,"Eastern Great Lakes Lowlands",2883006.58538828,3.46860116472929e-07,"4","201895","118014319",60000800240100,"04270101006600","00967653","Tonawanda Creek",0.298936834085,558,55800,"H0427",7,5,5,140.04797751,"120006551",0,1,5e+06,"Not_Border","NY","Include","Genesee","F36037","Region_02","H04","Great Lakes Region","H04270101","Niagara River","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",257.8063999,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","RV",298.936834085,c(1433210.83562397, 2346596.39033717),55800,4
"56","Site-056","Base","None",-74.9834645635684,42.8962105177872,"Eastern Great Lakes Lowlands",1581003.61134196,6.32509624156518e-07,"3","159576","43468341",10000600029200,"02050101000324","00959220","Ocquionis Creek",4.25023841849,460,46006,"H0205",2,3,3,22.0988141,NA,0,1,2e+06,"Not_Border","NY","Include","Herkimer","F36043","Region_02","H02","Mid-Atlantic Region","H02050101","Upper Susquehanna","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",29.75229987,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"83f","Mohawk Valley","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","LS",4250.23841849,c(1692915.08118738, 2399067.3437818),46006,3
"57","Site-057","Base","None",-73.4261183859516,43.5828575167054,"Eastern Great Lakes Lowlands",2883006.58538828,3.46860116472929e-07,"4","221270","{213B5D7E-76C5-40A3-A0CD-EB5D2E161C7B}",60000200051400,"04300101003934",NA,NA,0.0803582151946,558,55800,"H0430",4,7,7,964.290368,"{A4EB7698-14E0-44DB-932A-9424F7F27875}",0,1,5e+06,"Not_Border","NY","Include","Washington","F36115","Region_02","H02","Mid-Atlantic Region","H04300108","Lake Champlain","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",1774.22269996,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"83b","Champlain Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","RV",80.3582151946,c(1798034.59339213, 2502342.56602211),55800,4
"58","Site-058","Base","None",-78.1737106026385,43.3665417161613,"Eastern Great Lakes Lowlands",4743010.83402588,2.10836541385506e-07,"1","227736","124589049",60000700007000,"04130001000720",NA,NA,0.876515352255,460,46006,"H0413",9,1,1,0.11139231,NA,0,1,1e+05,"Not_Border","NY","Exclude_NoFlow","Orleans","F36073","Region_02","H04","Great Lakes Region","H04130001","Oak Orchard-Twelvemile","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",0.27460001,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83a","Erie/Ontario Lake Plain","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",876.515352255,c(1429436.61463801, 2398098.14594191),46006,1
"59","Site-059","Base","None",-76.0993648628685,44.100586905477,"Eastern Great Lakes Lowlands",4743010.83402588,2.10836541385506e-07,"1","327547","129617539",60000600098500,"04140302000254",NA,NA,1.35614888954,460,46006,"H0414",7,1,1,3.02318307,NA,0,1,1e+05,"Not_Border","NY","Include","Jefferson","F36045","Region_02","H04","Great Lakes Region","H04140302","Chaumont-Perch","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",4.57089998,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1356.14888954,c(1576438.04159643, 2511200.17536495),46006,1
"60","Site-060","Base","None",-75.3123379700902,43.3232325582505,"Eastern Great Lakes Lowlands",1506603.44139646,6.63744667324741e-07,"2","134299","53519969",10000700038600,"02020004002479",NA,NA,2.24882982796,460,46006,"H0202",7,2,2,4.86855147,NA,0,1,0,"Not_Border","NY","Include","Oneida","F36065","Region_02","H02","Mid-Atlantic Region","H02020004","Mohawk","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",5.56810009,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"83f","Mohawk Valley","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2248.82982796,c(1656546.24179563, 2439822.86723166),46006,2
"61","Site-061","Base","None",-73.4022409152873,43.5459370648569,"Eastern Great Lakes Lowlands",2883006.58538828,3.46860116472929e-07,"4","341366","52524241",60000200015500,"04300101000900","00946362","Champlain Canal",0.435063300781,558,55800,"H0430",4,6,6,568.195963,"{3F9C71AD-2CEE-440B-B8CF-2686928A5127}",0,1,5e+06,"Not_Border","NY","Include","Washington","F36115","Region_02","H02","Mid-Atlantic Region","H04300101","Mettawee River","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",1063.52309983,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"83b","Champlain Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","RV",435.063300781,c(1800871.11033256, 2498789.95092854),55800,4
"62","Site-062","Base","None",-76.7883400599401,42.7072521970968,"Eastern Great Lakes Lowlands",4743010.83402588,2.10836541385506e-07,"1","165522","87945668",60000600080500,"04140201002052",NA,NA,1.62150668356,460,46003,"H0414",7,1,1,0.47405107,NA,0,1,1e+05,"Not_Border","NY","Exclude_NoFlow","Seneca","F36099","Region_02","H04","Great Lakes Region","H04140201","Seneca","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",1.08419998,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1621.50668356,c(1553850.22372285, 2347590.34019399),46003,1
"63","Site-063","Base","None",-74.3666400786969,43.0733956728522,"Eastern Great Lakes Lowlands",1506603.44139646,6.63744667324741e-07,"2","142865","53528793",10000700031800,"02020004000075","00969978","Cayadutta Creek",0.239162164641,460,46006,"H0202",3,2,2,5.7776397,NA,0,1,0,"Not_Border","NY","Include","Fulton","F36035","Region_02","H02","Mid-Atlantic Region","H02020004","Mohawk","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",6.78690002,"NHD100","Urban","Non-Urban","Non-Urban",118,"83f","Mohawk Valley","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",239.162164641,c(1737285.53389911, 2429497.2229112),46006,2
